role=AXApplication title=Desk Setup Switcher description= value= help= enabled= actions=
  role=AXWindow title=Desk Setup Switcher UI Audit description= value= help= enabled= actions=AXRaise
    role=AXGroup title= description= value= help= enabled= actions=
            role=AXMenuItem title=Right & Quarters description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Top & Bottom description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Top & Quarters description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Bottom & Top description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Bottom & Quarters description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Quarters description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Return to Previous Size description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Full Screen Tile description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
          role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
            role=AXMenuItem title=Left of Screen description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
            role=AXMenuItem title=Right of Screen description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Remove Window from Set description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Bring All to Front description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Arrange in Front description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title= description= value= help= enabled=0 actions=AXCancel,AXPress,AXPick
        role=AXMenuItem title=Desk Setup Switcher UI Audit description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
    role=AXMenuBarItem title=Help description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
      role=AXMenu title= description= value= help= enabled=1 actions=AXCancel
        role=AXMenuItem title=Desk Setup Switcher Help description= value= help= enabled=1 actions=AXCancel,AXPress,AXPick
